content_id,model_prob,action,reason_code,days_since_last_update,avg_position,ctr,impressions_prev_30d,clicks_prev_30d,search_volume,competition,word_count,content_age_days
content_c204a19f27ae,0.9649382578405163,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,34.8,0.02,3150,0,0.0,0.0,5993.0,139
content_01b6c6ce9d7c,0.9649351269408796,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,29.5,0.33,4680,17,0.0,0.0,6137.0,223
content_2cb4479587fa,0.9648630533284858,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,43.1,0.07,1973,0,0.0,0.0,6198.0,139
content_d88da354897a,0.9648500876698685,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,19.2,0.09,4263,2,0.0,0.0,6678.0,148
content_8e0deefed99d,0.9647145767606725,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,34.8,0.0,2403,0,0.0,0.0,4889.0,153
content_3b7cbb3b2cc9,0.964504382019626,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,28.3,0.1,2228,3,0.0,0.0,5731.0,144
content_0eb4273ec881,0.964504382019626,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,27.4,0.1,5634,4,0.0,0.0,6192.0,151
content_475a9c3da500,0.9644421798006555,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,24.1,0.31,26291,71,0.0,0.0,6055.0,139
content_2c2d8c37d956,0.9643040864128058,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,31.5,0.09,3694,1,0.0,0.0,5916.0,139
content_7247c9f3c142,0.9642822356541749,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,0.2,0.07,472,1,20.0,0.38,0.0,257
content_01b492d70d7a,0.9642322805629945,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,21.2,0.0,5,0,0.0,0.0,2811.0,91
content_4c8ea2454a36,0.9642110308804723,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,38.5,0.05,14268,11,0.0,0.0,6016.0,223
content_ee9cff20f623,0.9641712356112173,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,31.2,0.07,3593,4,0.0,0.0,6098.0,139
content_5e6c160719bc,0.9641544941806122,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,46.0,0.09,13828,8,0.0,0.0,3807.0,90
content_8b9730806650,0.964149376689793,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,23.5,0.06,4316,0,0.0,0.0,5395.0,148
content_4f5826036689,0.964149376689793,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,21.9,0.06,4239,0,0.0,0.0,6567.0,153
content_52918fec2cf5,0.9640700885488661,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,4.3,0.0,4,0,30.0,0.16,2619.0,91
content_fbccbd20055a,0.964028958157177,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,32.3,0.08,4176,4,0.0,0.0,6132.0,148
content_954cc45bd437,0.9639907751689258,HIGH PRIORITY REFRESH,model_flagged_decline_risk,7,1.5,0.04,3857,3,0.0,0.0,2910.0,228
content_92f3a64c05bc,0.9639786509274506,HIGH PRIORITY REFRESH,model_flagged_decline_risk,1,7.3,0.0,1,0,0.0,0.0,3174.0,91
content_29c0b99ed170,0.9639160328075601,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,20.0,0.41,12523,59,0.0,0.0,6660.0,216
content_3a7c0ba260e8,0.9637368963941778,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,22.3,0.06,1877,1,0.0,0.0,6941.0,223
content_9042a5355ff7,0.9637241278360326,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,5.0,0.0,10,0,0.0,0.0,3839.0,91
content_fc701420f629,0.9636711692981244,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,30.1,0.03,5835,3,0.0,0.0,5373.0,151
content_987a0c9b0910,0.9636711692981244,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,27.6,0.04,5808,4,0.0,0.0,6137.0,148
content_ac1690c7fcff,0.9636372756424118,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,41.4,0.01,3059,0,0.0,0.0,6873.0,223
content_aa04fcd90504,0.9636372756424118,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,43.4,0.02,2968,0,0.0,0.0,5309.0,223
content_bbf4348fc02e,0.9636098482794059,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,45.5,0.03,4954,0,0.0,0.0,4973.0,153
content_d0fd2e1ec8f6,0.963601709183423,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,2.5,0.0,162,0,0.0,0.0,5508.0,139
content_1841a83f8bc5,0.9635427189209087,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,20.2,0.06,1025,2,0.0,0.0,5396.0,151
content_d63631a4c3a7,0.9635297910121374,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,21.5,0.6,8160,50,0.0,0.0,5724.0,144
content_aa0f02bc9178,0.9635189484309925,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,1.3,0.16,390,0,0.0,0.0,3491.0,111
content_08270090359f,0.9635071108792577,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,20.3,0.51,8940,38,0.0,0.0,6563.0,223
content_393f9b02b832,0.9633532897248102,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,1.9,0.14,1011,0,0.0,0.0,3935.0,95
content_c937b32e7591,0.9633456164524722,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,5.2,0.0,27,0,50.0,0.0,3110.0,95
content_65fde7375946,0.9633215092878866,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,18.7,0.21,19746,38,0.0,0.0,5093.0,153
content_2149cbc42bc0,0.9633131243530185,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,41.8,0.03,8281,2,0.0,0.0,5042.0,223
content_8d387d58f71f,0.9633000123047083,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,5.7,0.0,350,0,0.0,0.0,6583.0,148
content_0929829d7dbf,0.9632586487433404,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,34.4,0.02,1616,0,0.0,0.0,5554.0,139
content_9bcc697ea7f3,0.9632137762605639,HIGH PRIORITY REFRESH,model_flagged_decline_risk,20,7.1,0.0,351,0,0.0,0.0,4589.0,131
content_b178d2c17955,0.9631598503525353,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,3.1,0.0,207,0,0.0,0.0,5315.0,144
content_e2738a3c775f,0.962977188898315,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,25.1,0.06,1423,1,0.0,0.0,6231.0,139
content_e3b5918900c2,0.9629708633312273,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,31.2,0.11,5166,5,0.0,0.0,5730.0,151
content_ff1e1db5c019,0.9629432380179592,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,22.4,0.05,2953,0,0.0,0.0,6056.0,139
content_54d30b98b56d,0.9629281555470319,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,32.1,0.07,3921,3,0.0,0.0,6478.0,148
content_d205ff5017e4,0.9629281555470319,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,28.7,0.07,3226,2,0.0,0.0,5658.0,153
content_d8020ed269ef,0.9627529603139398,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,1.2,0.08,315,1,0.0,0.0,5703.0,148
content_1aa0c0e14f87,0.9627460889359015,HIGH PRIORITY REFRESH,model_flagged_decline_risk,8,33.7,0.0,4,0,20.0,0.0,3496.0,91
content_236dffc73f58,0.9627180178498795,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,29.9,0.12,7919,7,0.0,0.0,5231.0,223
content_9e0c9161935f,0.962702235659314,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,42.9,0.04,1272,0,0.0,0.0,5083.0,139
content_5d4cd0c99100,0.9626950384578292,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,43.8,0.03,4214,1,0.0,0.0,5239.0,151
content_a467a30832b8,0.9626950384578292,HIGH PRIORITY REFRESH,model_flagged_decline_risk,104,39.1,0.02,1707,1,0.0,0.0,5781.0,148
